year,month,day,title,latitude,longitude,description,context,imageUrl
1941,12,7,真珠湾攻撃,21.35843361,-157.9790187,1941年12月7日、日本軍がアメリカの真珠湾を奇襲。太平洋戦争の開始となる。,日本は石油禁輸措置を受け、アメリカとの交渉が決裂。この攻撃によりアメリカは戦争に参加。,https://www.jiji.com/news/handmade/special/feature/v2/photos/20110803end_of_pacifi_war/02188958.jpg
1942,2,15,シンガポール陥落,1.3521,103.8198,1942年2月15日、日本がシンガポールを占領。,イギリス植民地の重要拠点が陥落し、日本の支配が広がった。,https://japanda.info/wp-content/uploads/2019/02/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88-2019-02-16-20.09.04.png
1942,6,4,ミッドウェー海戦,28.2,-177.365,1942年6月4日～6月7日、アメリカと日本の間で行われた重要な海戦。,この戦いは太平洋戦争の転換点となった。,https://p.potaufeu.asahi.com/98d5-p/picture/26880274/54032eb57953385c2a3de1a470bc12f7_640px.jpg
1942-1943,8,7,ガダルカナルの戦い,-9.433,160.2,1942年8月7日～1943年2月9日、ソロモン諸島での戦い。,アメリカ軍が勝利し、日本は戦略的後退を余儀なくされた。,https://business.nikkei.com/atcl/gen/19/00179/042600114/fb.jpg
1944,10,20,レイテ島の戦い,11.7033,125.0844,1944年10月20日、レイテ島での大規模な海戦。,アメリカ軍が日本軍を追い詰めた。,https://upload.wikimedia.org/wikipedia/commons/0/0e/Douglas_MacArthur_lands_Leyte1.jpg
1945,3,10,東京大空襲,35.6828,139.7594,1945年3月10日、東京が空襲により大きな被害を受けた。,これにより、戦局の厳しさが増した。,https://www.asahicom.jp/articles/images/AS20190307002339_comm.jpg
1945,2,19,硫黄島の戦い,24.7542,141.2909,1945年2月19日～3月26日、硫黄島での激戦。,アメリカ軍の上陸作戦により激戦地となった。,https://www.jiji.com/news/handmade/topic/d4_mili/bij412-NH104130.jpg
1945,4,1,沖縄戦,26.501,127.669,1945年4月1日～6月22日、沖縄本島での地上戦。,日本本土を巡る最後の防衛戦。,https://news.1242.com/wp-content/uploads/2022/06/2019122403209TR.jpg
1945,8,6,広島原爆投下,34.385,132.455,1945年8月6日、広島に原子爆弾が投下された。,原子爆弾により戦争の終結が近づいた。,https://courrier.jp/media/2020/08/19224636/GettyImages-566461861-scaled-e1597979712670-1600x900.jpg
1945,8,9,長崎原爆投下,32.765,129.872,1945年8月9日、長崎に原子爆弾が投下された。,広島に続き2回目の原子爆弾使用。,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaQXoybCJj8IgLMqZSMXjkBRXJ1T3grBVRyA&s
1945,9,2,降伏文書調印,35.6828,139.7594,1945年9月2日、アメリカのミズーリ号で降伏文書が調印された。,日本の無条件降伏が確定した。,https://upload.wikimedia.org/wikipedia/commons/0/0f/Mamoru_Shigemitsu_signs_the_Instrument_of_Surrender%2C_officially_ending_the_Second_World_War_-_Alt.jpg
